NR_CONVENIO;ID_PROPOSTA;DIA;MES;ANO;DIA_ASSIN_CONV;SIT_CONVENIO;SUBSITUACAO_CONV;SITUACAO_PUBLICACAO;INSTRUMENTO_ATIVO;IND_OPERA_OBTV;NR_PROCESSO;UG_EMITENTE;DIA_PUBL_CONV;DIA_INIC_VIGENC_CONV;DIA_FIM_VIGENC_CONV;DIAS_PREST_CONTAS;DIA_LIMITE_PREST_CONTAS;SITUACAO_CONTRATACAO;QTDE_CONVENIOS;QTD_TA;QTD_PRORROGA;VL_GLOBAL_CONV;VL_REPASSE_CONV;VL_CONTRAPARTIDA_CONV;VL_EMPENHADO_CONV;VL_DESEMBOLSADO_CONV;VL_SALDO_REMAN_TESOURO;VL_SALDO_REMAN_CONVENENTE;VL_RENDIMENTO_APLICACAO;VL_INGRESSO_CONTRAPARTIDA
802768;857602;4;12;2014;04/12/2014;Em execução;;Publicado;SIM;SIM;25100010319201400;255000;08/12/2014;04/12/2014;10/04/2018;60;09/06/2018;Normal;1;1;1;510000;500000;10000;500000;500000;;;;10000
793557;786348;31;12;2013;31/12/2013;Em execução;;Publicado;SIM;SIM;786032013;550015;20/01/2014;31/12/2013;30/12/2017;60;28/02/2018;Normal;1;1;1;357500;350000;7500;350000;175000;;;;4037,25
832179;1063547;28;12;2016;28/12/2016;Em execução;;Publicado;SIM;SIM;116002016;540007;03/01/2017;28/12/2016;31/10/2023;60;30/12/2023;Cláusula Suspensiva;1;;;449718,75;438750;10968,75;438750;;;;;
765516;445921;23;12;2011;23/12/2011;Prestação de Contas Aprovada com Ressalvas;;Publicado;NÃO;NÃO;25000.216659/2011-78;257001;05/01/2012;23/12/2011;27/05/2016;30;26/06/2016;Normal;1;2;3;284389,98;284389,98;0;284389,98;284389,98;4932,3;;;
816388;952740;18;5;2015;18/05/2015;Em execução;;Publicado;SIM;SIM;57152015;175004;05/06/2015;18/05/2015;31/12/2017;60;01/03/2018;Normal;1;1;;250000;245850;4150;245850;122925;;;;1106,35
830187;1061977;19;7;2016;19/07/2016;Prestação de Contas Aprovada;;Publicado;NÃO;SIM;101722016;175004;31/05/2016;19/07/2016;31/12/2018;60;01/03/2019;Normal;1;1;;248103,04;245850;2253,04;245850;245850;3132,18;28,7;;2253,04
812819;912734;10;12;2014;10/12/2014;Convênio Anulado;;Publicado;NÃO;SIM;515312014;250107;24/12/2014;10/12/2014;30/11/2017;60;29/01/2018;Cláusula Suspensiva;1;;;249998,64;249998,64;0;0;;;;;
790437;743449;27;12;2013;27/12/2013;Em execução;;Publicado;SIM;SIM;493082013;175004;17/01/2014;27/12/2013;28/02/2018;60;29/04/2018;Normal;1;3;1;503100;493100;10000;493100;493100;;;;10000
777744;584953;27;12;2012;27/12/2012;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;017331/2012;135098;16/01/2013;27/12/2012;31/03/2014;60;30/05/2014;Normal;1;1;;384500;195000;189500;195000;195000;2101,38;;;189500
782160;639214;31;12;2012;31/12/2012;Convênio Anulado;;Publicado;NÃO;SIM;59050.001765/2012-66;530001;04/01/2013;04/01/2013;27/06/2014;60;26/08/2014;Cláusula Suspensiva;1;;;531000;477900;53100;0;;;;;
829816;1064346;16;12;2016;16/12/2016;Em execução;;Publicado;SIM;SIM;123192016;175004;30/12/2016;16/12/2016;30/04/2021;60;29/06/2021;Cláusula Suspensiva;1;;;542410;493100;49310;493100;;;;;
775198;618930;19;12;2012;19/12/2012;Prestação de Contas em Análise;;Publicado;SIM;SIM;71000.046283/2012-26;550008;20/12/2012;20/12/2012;31/12/2014;60;01/03/2015;Normal;1;;;300000;294000;6000;294000;294000;329286,76;6720,14;;6000
834212;1083268;26;7;2016;26/07/2016;Em execução;;Publicado;SIM;SIM;25000078860201700;257001;05/08/2016;26/07/2016;02/08/2018;60;01/10/2018;Normal;1;;2;300000;300000;0;300000;300000;;;;
756917;444887;2;12;2011;02/12/2011;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;022560/2011;175004;06/12/2011;02/12/2011;30/06/2014;30;30/07/2014;Normal;1;;;351785,71;344750;7035,71;344750;344750;9134,37;;;7035,71
710625;71489;31;12;2009;31/12/2009;Prestação de Contas Aprovada;;Publicado;NÃO;NÃO;034888/2009;175004;14/01/2010;31/12/2009;31/08/2015;0;31/08/2015;Normal;1;4;1;668742,72;493100;175642,72;493100;399312,38;141181,32;;;116765,57
835769;1056663;7;12;2016;07/12/2016;Em execução;;Publicado;SIM;SIM;57562016;540007;09/12/2016;07/12/2016;30/07/2019;60;28/09/2019;Cláusula Suspensiva;1;;;300000;292500;7500;292500;;;;;
782292;656780;31;12;2012;31/12/2012;Em execução;;Publicado;SIM;NÃO;053932/2012;250107;17/01/2013;31/12/2012;30/04/2018;60;29/06/2018;Normal;1;2;;969692,37;750000;219692,37;750000;214725;;;;77144,01
